Issue Key,Summary,Status,Worklog Comment,Author,Time Spent,Worklog Created,Data Extracted Time
TEST-182,bathykolpian,To Do,No comment provided.,Verdict Zero,6h,2023-09-27T11:19:12.088-0400,2023-12-21T18:59:06.188840
TEST-183,slubberdegullion mugwump defenestration,To Do,No comment provided.,Verdict Zero,1h,2023-09-18T11:19:12.677-0400,2023-12-21T18:59:06.326081
TEST-184,bathykolpian xenodocheionology jentacular,To Do,No comment provided.,Verdict Zero,4h,2023-09-16T11:19:13.000-0400,2023-12-21T18:59:06.481944
TEST-185,gobbledygook hobbledehoy mumpsimus slubberdegullion whippersnapper,To Do,No work records found.,,,,2023-12-21T18:59:06.628068
TEST-186,zoanthropy mugwump quockerwodger,To Do,No work records found.,,,,2023-12-21T18:59:06.720041
TEST-187,taradiddle uxorious,To Do,No comment provided.,Verdict Zero,6h,2023-09-27T11:20:38.504-0400,2023-12-21T18:59:06.882097
TEST-188,taradiddle floccinaucinihilipilification rumbustious limerence,To Do,No work records found.,,,,2023-12-21T18:59:06.979224
TEST-189,lollygag ventriloquize susurrus snickersnee floccinaucinihilipilification,To Do,No comment provided.,Verdict Zero,5h,2023-09-21T11:20:38.793-0400,2023-12-21T18:59:07.095522
TEST-190,omphaloskepsis farrago absquatulate,To Do,No comment provided.,Verdict Zero,1h,2023-09-27T11:20:39.537-0400,2023-12-21T18:59:07.190644
TEST-191,quockerwodger,To Do,No work records found.,,,,2023-12-21T18:59:07.278781
TEST-192,lucubrate ultracrepidarian nudiustertian yex,To Do,No work records found.,,,,2023-12-21T18:59:07.409003
TEST-193,ventriloquize xenodocheionology yex lollygag,To Do,No comment provided.,Verdict Zero,3h,2023-09-13T11:20:39.182-0400,2023-12-21T18:59:07.502014
TEST-194,lollygag,To Do,No comment provided.,Verdict Zero,1d,2023-09-16T11:20:38.203-0400,2023-12-21T18:59:07.598751
TEST-195,clews xenodocheionology,To Do,No work records found.,,,,2023-12-21T18:59:07.690272
TEST-196,susurrus cachinnate,To Do,No comment provided.,Test McUserface,1d,2023-10-04T14:29:00.000-0400,2023-12-21T18:59:07.810352
