Issue Key,Summary,Status,Worklog Comment,Author,Time Spent,Worklog Created,Data Extracted Time
TEST-142,xenodocheionology,To Do,No comment provided.,Verdict Zero,1d,2023-09-19T08:27:56.022-0400,2023-12-21T16:06:38.945002
TEST-143,cacoethes cacoethes,To Do,No work records found.,,,,2023-12-21T16:06:39.113125
TEST-144,jentacular snickersnee slubberdegullion pandiculation obambulate,To Do,No comment provided.,Verdict Zero,1h,2023-09-20T08:27:56.852-0400,2023-12-21T16:06:39.255251
TEST-145,absquatulate eschew slubberdegullion,To Do,No work records found.,,,,2023-12-21T16:06:39.368611
TEST-146,kakorrhaphiophobia susurrus mugwump taradiddle eschew,To Do,No comment provided.,Verdict Zero,4h,2023-09-28T08:27:57.582-0400,2023-12-21T16:06:39.493677
TEST-147,clews yaffle quockerwodger jentacular wabbit,To Do,No comment provided.,Verdict Zero,5h,2023-09-20T08:28:35.771-0400,2023-12-21T16:06:39.616126
TEST-148,uxorious whippersnapper farrago bibble,To Do,No comment provided.,Verdict Zero,4h,2023-09-21T08:28:36.377-0400,2023-12-21T16:06:39.742229
TEST-149,yaffle hobbledehoy gobbledygook,To Do,No work records found.,,,,2023-12-21T16:06:39.877347
TEST-150,blatherskite mugwump yex fustilugs eucatastrophe quixotic,To Do,No comment provided.,Verdict Zero,1d,2023-09-26T08:28:36.010-0400,2023-12-21T16:06:39.998152
TEST-151,obambulate farrago cachinnate,To Do,No comment provided.,Verdict Zero,1d,2023-09-14T08:28:36.646-0400,2023-12-21T16:06:40.167573
TEST-152,whippersnapper,To Do,No work records found.,,,,2023-12-21T16:06:40.279443
TEST-153,lucubrate yaffle wabbit,To Do,No comment provided.,Verdict Zero,7h,2023-09-21T08:28:35.516-0400,2023-12-21T16:06:40.386301
TEST-154,bathykolpian mugwump brouhaha,To Do,No work records found.,,,,2023-12-21T16:06:40.492643
TEST-155,omphaloskepsis quixotic lucubrate whippersnapper taradiddle,To Do,No work records found.,,,,2023-12-21T16:06:40.584494
TEST-156,ventriloquize,To Do,No work records found.,,,,2023-12-21T16:06:40.733563
TEST-157,pandiculation absquatulate,To Do,No comment provided.,Verdict Zero,4h,2023-09-23T08:28:56.095-0400,2023-12-21T16:06:40.833518
TEST-158,farrago,To Do,No comment provided.,Verdict Zero,2h,2023-09-23T08:28:56.447-0400,2023-12-21T16:06:40.939998
TEST-159,gorgonize,To Do,No comment provided.,Verdict Zero,3h,2023-09-14T08:28:55.786-0400,2023-12-21T16:06:41.036243
TEST-160,blatherskite claptrap quockerwodger quockerwodger ultracrepidarian,To Do,No work records found.,,,,2023-12-21T16:06:41.186186
TEST-161,absquatulate,To Do,No work records found.,,,,2023-12-21T16:06:41.292055
TEST-162,zymurgy pogonotrophy throttlebottom zymurgy doodle-sack yaffle,To Do,No work records found.,,,,2023-12-21T16:06:41.613946
TEST-163,absquatulate eucatastrophe,To Do,No work records found.,,,,2023-12-21T16:06:41.763153
TEST-164,slubberdegullion flibbertigibbet cachinnate kakorrhaphiophobia claptrap,To Do,No work records found.,,,,2023-12-21T16:06:41.871460
TEST-165,mumpsimus pogonotrophy omphaloskepsis pogonotrophy ultracrepidarian fustilugs,To Do,No comment provided.,Verdict Zero,1h,2023-09-17T08:28:56.816-0400,2023-12-21T16:06:41.998655
TEST-166,uxorious blatherskite,To Do,No comment provided.,Verdict Zero,5h,2023-09-18T08:28:57.074-0400,2023-12-21T16:06:42.261199
TEST-167,pogonotrophy,To Do,No comment provided.,Verdict Zero,1h,2023-09-28T09:09:55.566-0400,2023-12-21T16:06:42.360734
TEST-168,lucubrate brouhaha fustilugs mugwump taradiddle defenestration,To Do,No work records found.,,,,2023-12-21T16:06:42.469841
TEST-169,mugwump farrago quockerwodger mugwump blatherskite,To Do,No work records found.,,,,2023-12-21T16:06:42.601675
TEST-170,ventriloquize throttlebottom gallimaufry,To Do,No comment provided.,Verdict Zero,3h,2023-09-25T09:09:54.318-0400,2023-12-21T16:06:42.887176
TEST-171,lucubrate yex pandiculation,To Do,No comment provided.,Verdict Zero,2h,2023-09-15T09:09:55.289-0400,2023-12-21T16:06:43.041596
TEST-172,clews nudiustertian,To Do,No work records found.,,,,2023-12-21T16:06:43.127747
TEST-173,hobbledehoy yaffle,To Do,No comment provided.,Verdict Zero,4h,2023-09-28T09:09:54.972-0400,2023-12-21T16:06:43.310757
TEST-174,rumbustious,To Do,No comment provided.,Verdict Zero,3h,2023-09-23T09:09:54.602-0400,2023-12-21T16:06:43.426053
TEST-175,defenestration obambulate mumpsimus mugwump,To Do,No work records found.,,,,2023-12-21T16:06:43.512491
TEST-176,fustilugs kakorrhaphiophobia defenestration snickersnee defenestration,To Do,No work records found.,,,,2023-12-21T16:06:43.610262
TEST-177,slubberdegullion flibbertigibbet ventriloquize brouhaha yaffle ventriloquize,To Do,No comment provided.,Verdict Zero,5h,2023-09-28T11:19:12.400-0400,2023-12-21T16:06:43.726968
TEST-178,brouhaha limerence,To Do,No work records found.,,,,2023-12-21T16:06:43.849092
TEST-179,gobbledygook jentacular flibbertigibbet throttlebottom obambulate omphaloskepsis,To Do,No work records found.,,,,2023-12-21T16:06:43.951596
TEST-180,lollygag lucubrate jentacular mumpsimus pogonotrophy snickersnee,To Do,No comment provided.,Verdict Zero,3h,2023-09-23T11:19:11.632-0400,2023-12-21T16:06:44.060775
TEST-181,limerence nudiustertian slubberdegullion,To Do,No work records found.,,,,2023-12-21T16:06:44.165215
TEST-182,bathykolpian,To Do,No comment provided.,Verdict Zero,6h,2023-09-27T11:19:12.088-0400,2023-12-21T16:06:44.271639
TEST-183,slubberdegullion mugwump defenestration,To Do,No comment provided.,Verdict Zero,1h,2023-09-18T11:19:12.677-0400,2023-12-21T16:06:44.374354
TEST-184,bathykolpian xenodocheionology jentacular,To Do,No comment provided.,Verdict Zero,4h,2023-09-16T11:19:13.000-0400,2023-12-21T16:06:44.492720
TEST-185,gobbledygook hobbledehoy mumpsimus slubberdegullion whippersnapper,To Do,No work records found.,,,,2023-12-21T16:06:44.642783
TEST-186,zoanthropy mugwump quockerwodger,To Do,No work records found.,,,,2023-12-21T16:06:44.733068
TEST-187,taradiddle uxorious,To Do,No comment provided.,Verdict Zero,6h,2023-09-27T11:20:38.504-0400,2023-12-21T16:06:44.845614
TEST-188,taradiddle floccinaucinihilipilification rumbustious limerence,To Do,No work records found.,,,,2023-12-21T16:06:44.950249
TEST-189,lollygag ventriloquize susurrus snickersnee floccinaucinihilipilification,To Do,No comment provided.,Verdict Zero,5h,2023-09-21T11:20:38.793-0400,2023-12-21T16:06:45.106171
TEST-190,omphaloskepsis farrago absquatulate,To Do,No comment provided.,Verdict Zero,1h,2023-09-27T11:20:39.537-0400,2023-12-21T16:06:45.232109
TEST-191,quockerwodger,To Do,No work records found.,,,,2023-12-21T16:06:45.317730
TEST-192,lucubrate ultracrepidarian nudiustertian yex,To Do,No work records found.,,,,2023-12-21T16:06:45.459919
TEST-193,ventriloquize xenodocheionology yex lollygag,To Do,No comment provided.,Verdict Zero,3h,2023-09-13T11:20:39.182-0400,2023-12-21T16:06:45.569772
TEST-194,lollygag,To Do,No comment provided.,Verdict Zero,1d,2023-09-16T11:20:38.203-0400,2023-12-21T16:06:45.687310
TEST-195,clews xenodocheionology,To Do,No work records found.,,,,2023-12-21T16:06:45.812130
TEST-196,susurrus cachinnate,To Do,No comment provided.,Test McUserface,1d,2023-10-04T14:29:00.000-0400,2023-12-21T16:06:45.974251
